Graph,Randomized,Greedy,Semi-Greedy,GRASP,Local Search
G1,9589,10954,11043,11249,11172
G2,9585,11046,11151,11269,11178
G3,9588,11076,10947,11279,11175
G4,9584,11098,11007,11282,11173
G5,9587,10992,11046,11235,11172
G6,75,1506,1535,1850,1746
G7,-76,1355,1446,1694,1584
G8,-83,1383,1425,1677,1593
G9,-30,1474,1423,1710,1630
G10,-79,1428,1382,1641,1585
G11,17,434,406,472,440
G12,-2,418,398,456,428
G13,17,432,410,476,452
G14,2347,2903,2853,2956,2928
G15,2330,2859,2859,2938,2909
G16,2337,2878,2870,2940,2912
G17,2332,2863,2859,2944,2908
G18,33,790,743,834,801
G19,-56,700,592,756,722
G20,-24,724,623,782,751
G21,-34,675,652,769,741
G22,9995,12335,12383,12682,12609
G23,9996,12304,12354,12704,12614
G24,9994,12344,12399,12698,12605
G25,9996,12426,12379,12702,12614
G26,9992,12328,12405,12657,12603
G27,-17,2339,2287,2718,2649
G28,-51,2302,2287,2760,2619
G29,46,2371,2402,2773,2668
G30,48,2384,2424,2756,2697
G31,-40,2298,2274,2729,2588
G32,10,1058,1018,1124,1095
G33,-14,998,994,1088,1065
G34,-23,988,960,1096,1064
G35,5888,7222,7215,7400,7325
G36,5883,7230,7214,7348,7324
G37,5891,7255,7182,7399,7339
G38,5889,7261,7162,7351,7332
G39,12,1874,1699,1994,1966
G40,-49,1858,1724,2000,1920
G41,-9,1876,1661,1998,1935
G42,60,1876,1785,2049,2002
G43,4993,6187,6143,6367,6299
G44,4995,6173,6188,6350,6299
G45,4993,6183,6173,6348,6300
G46,4995,6155,6182,6349,6307
G47,4994,6214,6195,6347,6307
G48,3000,6000,4846,5114,5046
G49,2999,6000,4910,5156,5061
G50,2989,5880,4934,5122,5057
G51,2954,3633,3629,3704,3672
G52,2957,3672,3622,3700,3682
G53,2955,3632,3595,3701,3672
G54,2957,3619,3619,3703,3681
