Criteria,Depth,NodeCount,Accuracy
IG,0,23473,0.7475
IG,1,23464,0.7462
IG,2,23459,0.7468
IG,3,23470,0.7467
IG,4,23468,0.7468
IG,5,23472,0.7459
IG,6,23462,0.7476
IG,7,23459,0.7462
IG,8,23487,0.7469
IG,9,23459,0.7479
IG,10,23472,0.7476
IG,11,23482,0.7467
IG,12,23465,0.7461
IG,13,23464,0.7463
IG,14,23467,0.7481
IG,15,23465,0.7461
IGR,0,21383,0.8312
IGR,1,21184,0.8318
IGR,2,21181,0.8300
IGR,3,21046,0.8306
IGR,4,21219,0.8307
IGR,5,21045,0.8303
IGR,6,21269,0.8301
IGR,7,21069,0.8309
IGR,8,21274,0.8302
IGR,9,21272,0.8318
IGR,10,21161,0.8320
IGR,11,21223,0.8298
IGR,12,21335,0.8332
IGR,13,21153,0.8320
IGR,14,21208,0.8312
IGR,15,21180,0.8309
NWIG,0,13002,0.8309
NWIG,1,12978,0.8290
NWIG,2,13020,0.8303
NWIG,3,13041,0.8315
NWIG,4,13002,0.8309
NWIG,5,13004,0.8303
NWIG,6,12980,0.8301
NWIG,7,13016,0.8306
NWIG,8,13044,0.8303
NWIG,9,13024,0.8310
NWIG,10,13007,0.8293
NWIG,11,13032,0.8316
NWIG,12,12955,0.8312
NWIG,13,12986,0.8307
NWIG,14,12997,0.8314
NWIG,15,13021,0.8332
