Criteria,MaxDepth,ActualDepth,NodeCount,Accuracy
IG,0,3,55,0.8733
IG,1,1,1,0.2417
IG,2,2,38,0.8550
IG,3,3,54,0.8517
IG,4,3,55,0.8667
IG,5,3,49,0.8683
IG,6,3,51,0.8217
IG,7,3,51,0.8483
IG,8,3,54,0.8500
IG,9,3,54,0.8933
IG,10,3,50,0.8667
IG,11,3,51,0.8867
IG,12,3,50,0.8567
IG,13,3,55,0.8517
IG,14,3,53,0.8700
IG,15,3,56,0.8617
IGR,0,3,44,0.9500
IGR,1,1,1,0.2583
IGR,2,2,23,0.9417
IGR,3,3,42,0.9283
IGR,4,4,44,0.9483
IGR,5,4,42,0.9033
IGR,6,3,43,0.9317
IGR,7,3,42,0.9100
IGR,8,4,43,0.9200
IGR,9,3,42,0.9167
IGR,10,3,41,0.9267
IGR,11,4,43,0.9317
IGR,12,4,42,0.9333
IGR,13,4,41,0.9333
IGR,14,4,43,0.9267
IGR,15,4,44,0.9250
NWIG,0,4,43,0.9250
NWIG,1,1,1,0.2533
NWIG,2,2,22,0.9433
NWIG,3,3,40,0.9183
NWIG,4,4,41,0.9283
NWIG,5,4,42,0.9450
NWIG,6,4,44,0.9500
NWIG,7,4,42,0.9250
NWIG,8,4,41,0.9383
NWIG,9,4,42,0.9283
NWIG,10,4,42,0.9167
NWIG,11,4,43,0.9350
NWIG,12,4,42,0.9367
NWIG,13,4,44,0.9417
NWIG,14,4,44,0.9283
NWIG,15,4,41,0.9317
